name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
生け花用吸水性スポンジ（フローラルフォーム）,Floral foam (Water-absorbing sponge for flower arrangement),插花用吸水海绵（花艺泡沫）,꽃꽂이용 흡수성 스펀지 (플로럴 폼),Xốp thấm nước dùng cho cắm hoa (xốp hoa),Водопоглощающая губка для икебаны (флористическая пена),Spons penyerap air untuk Ikebana (Floral foam),なし,None,有料,燃やせるごみ
石臼,Stone mortar / Millstone,石磨,맷돌,Cối đá,Жернов / Каменная ступка,Lesung batu,なし,None,有料,大型ごみ
衣装ケース（プラ製・木製）,Dresser case (Plastic/Wood),衣物收纳箱（塑料/木制）,옷장 케이스 (플라스틱/나무),Hộp đựng quần áo (Nhựa/Gỗ),Ящик для одежды (Пластик/Дерево),Kotak pakaian (Plastik/Kayu),紙製は解体して「雑がみ」へ,Paper ones must be disassembled and put into 'Mixed paper.',有料,大型ごみ
移植ゴテ（小型シャベル）,Trowel (Small shovel),移植铲（小型铁锹）,이식용 작은 삽 (모종삽),Xẻng làm vườn (Xẻng nhỏ),Садовый совок (Маленькая лопатка),Sekop tanam (Sekop kecil),なし,None,有料,燃やせないごみ
いす（座いす・ベビーチェアーを含む）,"Chair (incl. floor chair, baby chair)",椅子（包括坐垫椅、婴儿椅）,"의자 (좌식 의자, 유아용 의자 포함)","Ghế (bao gồm ghế bệt, ghế trẻ em)","Стул (включая напольные стулья, детские стульчики)","Kursi (termasuk kursi lantai, kursi bayi)",木製はリユース（再利用）収集対象,Wooden chairs are eligible for reuse collection.,有料,大型ごみ
板（木製・プラ製）,Board (Wood/Plastic),板材（木制/塑料）,판자 (나무/플라스틱),Tấm ván (Gỗ/Nhựa),Доска (Дерево/Пластик),Papan (Kayu/Plastik),一辺が50cmを超えるものは「大型ごみ」,"If one side exceeds 50 cm, it is 'Bulky waste.'",有料,燃やせるごみ
板（木製・プラ製以外）,Board (Other than Wood/Plastic),板材（木制、塑料以外）,"판자 (나무, 플라스틱 외)",Tấm ván (Không phải Gỗ/Nhựa),Доска (кроме дерева/пластика),Papan (Selain Kayu/Plastik),一辺が50cmを超えるものは「大型ごみ」,"If one side exceeds 50 cm, it is 'Bulky waste.'",有料,燃やせないごみ
一輪車,Unicycle,独轮车,외발자전거,Xe đạp một bánh,Одноколесный велосипед,Sepeda roda satu (Unicycle),リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
一升びん,1.8 Liter sake bottle (Ishobin),1.8升瓶,1.8리터 술병 (잇쇼빙),Chai 1.8 lít (Ishobin),Бутылка 1.8 л (иссёбин),Botol sake 1.8 liter (Ishobin),リターナブル（リユース）びんの無料回収に出すと、より環境負荷の小さい再利用（リユース）に！,Submit to free collection for returnable bottles for lower environmental impact reuse.,無料,びん・缶・ペットボトル
一升びんのふた（金属製）,1.8 Liter bottle cap (Metal),1.8升瓶盖（金属制）,1.8리터 술병 뚜껑 (금속제),Nắp chai 1.8 lít (Kim loại),Крышка от бутылки 1.8 л (металл),Tutup botol 1.8 liter (Logam),なし,None,有料,燃やせないごみ
一升びんのふた（プラ製）,1.8 Liter bottle cap (Plastic),1.8升瓶盖（塑料制）,1.8리터 술병 뚜껑 (플라스틱제),Nắp chai 1.8 lít (Nhựa),Крышка от бутылки 1.8 л (пластик),Tutup botol 1.8 liter (Plastik),なし,None,無料,容器包装プラスチック
一斗缶（しょうゆなど）,"18 Liter can (Soy sauce, etc.)",18升罐（酱油等）,18리터 캔 (간장 등),"Thùng 18 lít (Nước tương, v.v.)",Жестяная канистра 18 л (соевый соус и др.),"Kaleng 18 liter (kecap, dll.)",ペンキや油の缶など水で濯いでも汚れを落とせないものは「燃やせないごみ」,"Cans (e.g., paint, oil) that cannot be cleaned by rinsing must go to 'Non-burnable waste.'",無料,びん・缶・ペットボトル
一斗缶（食用油・ペンキなど）,"18 Liter can (Cooking oil, paint, etc.)",18升罐（食用油、油漆等）,"18리터 캔 (식용유, 페인트 등)","Thùng 18 lít (Dầu ăn, sơn, v.v.)","Жестяная канистра 18 л (растительное масло, краска и др.)","Kaleng 18 liter (minyak goreng, cat, dll.)",なし,None,有料,燃やせないごみ
糸,Thread,线,실,Chỉ,Нить,Benang,なし,None,有料,燃やせるごみ
衣服,Clothing,衣服,의류,Quần áo,Одежда,Pakaian,"・古着の無料回収に出すと資源に！
・綿50％以上の薄手の古布は、古布の無料回収に出すと資源に！",Recycle used clothing via free collection. Thin used cloth (≥50% cotton) should go to free cloth collection.,有料,燃やせるごみ
イヤホン,Earphones,耳机,이어폰,Tai nghe,Наушники,Earphone,小型家電の無料回収に出すと資源に！,Recycle through free collection of small electronics.,有料,燃やせないごみ
衣類乾燥機,Clothes dryer,衣物烘干机,의류 건조기,Máy sấy quần áo,Сушильная машина,Mesin pengering pakaian,"・販売店または家電回収協力店へ
・詳細は、「テレビ・冷蔵庫・洗濯機・エアコンリサイクル」のページ参照",Dispose via retailer or appliance recycling store. See the designated recycling page for details.,-,市で収集しないもの
衣類乾燥機台,Clothes dryer stand,衣物烘干机架,의류 건조기 스탠드,Khung máy sấy quần áo,Подставка для сушильной машины,Dudukan mesin pengering pakaian,なし,None,有料,大型ごみ
入れ歯,Dentures,假牙,틀니,Răng giả,Зубные протезы,Gigi palsu,なし,None,有料,燃やせないごみ
色紙,Shikishi (Colored paper),彩纸（色纸/书画签名板）,색지,Giấy màu (Shikishi),Цветная бумага (сикиси),Kertas berwarna (Shikishi),なし,None,無料,雑がみ
印鑑（木製・プラ製）,Seal/Stamp (Wood/Plastic),印章（木制/塑料）,인감 (나무/플라스틱),Con dấu (Gỗ/Nhựa),Печать/Штамп (Дерево/Пластик),Stempel/Cap (Kayu/Plastik),木製・プラ製以外は「燃やせないごみ」,Non-wood/non-plastic seals are 'Non-burnable waste.',有料,燃やせるごみ
インクカートリッジ（インクリボン）,Ink cartridge (Ink ribbon),墨盒（色带）,잉크 카트리지 (잉크 리본),Hộp mực (Ruy băng mực),Чернильный картридж (чернильная лента),Kartrid tinta (Pita tinta),販売店に返却するか、地区リサイクルセンターに出すと資源に！無料に！,Return to the retailer or a district recycling center for free recycling.,有料,燃やせるごみ
インターホン,Intercom,对讲机,인터폰,Chuông cửa có hình (Intercom),Домофон,Interkom,小型家電の無料回収に出すと資源に！,Recycle through free collection of small electronics.,有料,燃やせないごみ
印箱（木製・プラ製）,Seal/Stamp box (Wood/Plastic),印章盒（木制/塑料）,인장 상자 (나무/플라스틱),Hộp đựng con dấu (Gỗ/Nhựa),Коробочка для печати/штампа (Дерево/Пластик),Kotak Stempel (Kayu/Plastik),金属製は「燃やせないごみ」,Metal stamp boxes are 'Non-burnable waste.',有料,燃やせるごみ
ウィッグ,Wig,假发,가발,Tóc giả,Парик,Wig,なし,None,有料,燃やせるごみ
ウインドブレーカー,Windbreaker,风衣,윈드 브레이커,Áo gió (Windbreaker),Ветровка,Jaket Windbreaker,古着の無料回収に出すと資源に！,Recycle through free collection of used clothes.,有料,燃やせるごみ
ウィズユーカード,With You Card,With You 卡 (公交卡),위드유 카드,Thẻ With You Card,Карта With You Card,Kartu With You Card,なし,None,有料,燃やせるごみ
植木の枝,Tree branches,树枝,정원수 가지,Cành cây cảnh,Ветви кустарников/деревьев,Cabang pohon,収集期間外は「燃やせるごみ」または「大型ごみ」,"Outside collection period, dispose of as 'Burnable waste' or 'Bulky waste.'",無料,枝・葉・草
植木鉢（プラ製）,Flower pot (Plastic),花盆（塑料制）,화분 (플라스틱제),Chậu cây (Nhựa),Цветочный горшок (пластик),Pot bunga (Plastik),なし,None,有料,燃やせるごみ
植木鉢（プラ製以外）,Flower pot (non-plastic),花盆（非塑料制）,화분 (플라스틱 외),Chậu cây (không phải nhựa),Цветочный горшок (кроме пластика),Pot bunga (bukan plastik),なし,None,有料,燃やせないごみ
ウエストポーチ,Waist pouch / Fanny pack,腰包,웨이스트 파우치,Túi đeo hông,Поясная сумка,Tas pinggang,なし,None,有料,燃やせるごみ
浮輪,Swim ring / Inner tube,游泳圈,튜브 / 구명환,Phao bơi,Надувной круг,Pelampung,なし,None,有料,燃やせるごみ
臼（木製）,Wooden mortar,臼（木制）,절구 (나무),Cối giã (gỗ),Деревянная ступа,Lesung (kayu),なし,None,有料,大型ごみ
うちわ・扇子,Uchiwa fan / Folding fan,团扇 / 折扇,부채 / 선자,Quạt giấy / Quạt xếp,Веер (утива) / Складной веер,Kipas (uchiwa) / Kipas lipat,なし,None,有料,燃やせるごみ
ウッドカーペット,Wood carpet / Flooring,木地板,우드 카펫,Thảm gỗ,Деревянный ковер,Karpet kayu,なし,None,有料,大型ごみ
ウッドクラフト,Wood craft,木制工艺品,우드 크래프트,Đồ thủ công bằng gỗ,Изделия из дерева,Kerajinan kayu,なし,None,有料,燃やせるごみ
腕時計,Wristwatch,手表,손목시계,Đồng hồ đeo tay,Наручные часы,Jam tangan,電子式は小型家電の無料回収に出すと資源に！,Electric models can be recycled via free small appliance collection.,有料,燃やせないごみ
ウレタン製品,Urethane products,聚氨酯产品,우레탄 제품,Sản phẩm Urethane,Изделия из уретана,Produk uretan,なし,None,有料,燃やせるごみ
エアコン,Air conditioner,空调,에어컨,Máy lạnh,Кондиционер,AC (Pendinginan Udara),"・販売店または家電回収協力店へ
・詳細は、「テレビ・冷蔵庫・洗濯機・エアコンリサイクル」のページ参照",Contact retailer/recycling agency. See recycling page for details.,-,市で収集しないもの
SDカード,SD card,SD卡,SD 카드,Thẻ SD,SD-карта,Kartu SD,なし,None,有料,燃やせるごみ
絵の具のチューブ（プラ製）,Paint tube (plastic),颜料管（塑料制）,물감 튜브 (플라스틱),Tuýp màu vẽ (nhựa),Тюбик с краской (пластик),Tabung cat (plastik),"中身を使い切って
金属製は「燃やせないごみ」",Empty contents fully. Metal versions are Non-combustible.,無料,容器包装プラスチック
エプロン,Apron,围裙,앞치마,Tạp dề,Фартук,Celemek,古着の無料回収に出すと資源に！,Recycle via free used clothing collection.,有料,燃やせるごみ
MO（ケースを含む）,MO disc (including case),MO光盘（含外壳）,MO (케이스 포함),Đĩa MO (kể cả hộp),МО-диск (включая футляр),MO (termasuk wadah),なし,None,有料,燃やせるごみ
MOドライブ,MO drive,MO驱动器,MO 드라이브,Ổ đĩa MO,MO-привод,MO Drive,小型家電の無料回収に出すと資源に！,Recycle via free small appliance collection.,有料,燃やせないごみ
MD（ケースを含む）,MD disc (including case),MD光盘（含外壳）,MD (케이스 포함),Đĩa MD (kể cả hộp),MD-диск (включая футляр),MD (termasuk wadah),なし,None,有料,燃やせるごみ
MDレコーダー,MD recorder,MD录音机,MD 레코더,Đầu ghi MD,MD-рекордер,Perekam MD,小型家電の無料回収に出すと資源に！,Recycle via free small appliance collection.,有料,燃やせないごみ
LED製品,LED product,LED产品,LED 제품,Sản phẩm LED,LED-изделия,Produk LED,厚紙などて包んで、「キケン」と表示,"Wrap in thick paper and label ""DANGER.""",有料,燃やせないごみ
LD,LD (LaserDisc),LD（激光影碟）,LD (레이저 디스크),Đĩa LD (LaserDisc),LD (лазерный диск),LD (LaserDisc),なし,None,有料,燃やせるごみ
エレキギター,Electric guitar,电吉他,일렉트릭 기타,Đàn guitar điện,Электрогитара,Gitar listrik,なし,None,有料,大型ごみ
エレクトーン,Electone (Electronic organ),电子琴,일렉톤,Đàn Electone,Электроорган (Electone),Electone (Organ elektronik),"小型家電の無料回収に出すと資源に！
※木製及び一人で動かすことが困難な製品は、小型家電の無料回収に出せません",Recycle via free small appliance collection! *Wooden/hard-to-move items cannot be included in free collection.,有料,大型ごみ
エンジンオイル,Engine oil,发动机油,엔진 오일,Dầu động cơ,Моторное масло,Oli mesin,紙や布にしみ込ませて,Must be soaked into paper or cloth.,有料,燃やせるごみ
エンジンオイルの缶,Engine oil can,发动机油罐,엔진 오일 캔,Lon dầu động cơ,Банка из-под моторного масла,Kaleng oli mesin,なし,None,有料,燃やせないごみ
延長コード,Extension cord,延长线,연장 코드,Dây nối dài,Удлинитель,Kabel ekstensi,小型家電の無料回収に出すと資源に！,Recycle via free small appliance collection.,有料,燃やせないごみ
煙突,Chimney / Flue,烟囱,굴뚝,Ống khói,Дымоход,Cerobong asap,なし,None,有料,大型ごみ
塩ビ管,PVC pipe,PVC管,PVC 파이프,Ống PVC,ПВХ-труба,Pipa PVC,なし,None,有料,燃やせるごみ
鉛筆,Pencil,铅笔,연필,Bút chì,Карандаш,Pensil,なし,None,有料,燃やせるごみ
鉛筆削り,Pencil sharpener,卷笔刀,연필깎이,Đồ gọt bút chì,Точилка для карандашей,Rautan pensil,電動式のものは、小型家電の無料回収に出すと資源に！,Electric models can be recycled via free small appliance collection.,有料,燃やせないごみ
オイルエレメント,Oil filter element,机油滤清器,오일 필터,Lọc dầu,Масляный фильтр,Elemen filter oli,なし,None,有料,燃やせないごみ
オイルヒーター,Oil heater,油汀取暖器,오일 히터,Lò sưởi dầu,Масляный обогреватель,Pemanas minyak (oil heater),小型家電の無料回収に出すと資源に！,Recycle via free small appliance collection.,有料,大型ごみ
オーディオラック,Audio Rack,音响架,오디오 랙,Kệ âm thanh,Аудиостойка,Rak Audio,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
オートバイ,Motorcycle,摩托车,오토바이,Xe mô tô,Мотоцикл,Sepeda Motor,販売店または二輪車リサイクルコールセンターに相談（050-3000-0727）,Consult the dealer or Motorcycle Recycle Call Center. (050-3000-0727),-,市で収集しないもの
オーブントースター,Oven Toaster,烤面包机,오븐 토스터,Lò nướng bánh mì,Тостер-духовка,Pemanggang Roti Oven,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small appliances.,有料,燃やせないごみ
オーブンレンジ,Microwave Oven,微波炉烤箱,오븐 레인지,Lò nướng vi sóng,Духовой шкаф,Oven Microwave,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small appliances.,有料,大型ごみ
置き時計,Table Clock,座钟,탁상 시계,Đồng hồ để bàn,Настольные часы,Jam Meja,小型家電の無料回収に出すと資源に！※木製のものは、小型家電の無料回収に出せません,Can be recycled (except wooden ones) via free collection of small appliances.,有料,燃やせないごみ
おけ（金属製）,Tub (Metal),盆（金属制）,통/대야 (금속제),Thùng (Kim loại),Таз (металлический),Ember (Logam),なし,None,有料,燃やせないごみ
おけ（木製・プラ製）,Tub (Wood/Plastic),盆（木制・塑料制）,통/대야 (목재・플라스틱제),Thùng (Gỗ/Nhựa),Таз (деревянный/пластиковый),Ember (Kayu/Plastik),なし,None,有料,燃やせるごみ
おしぼり,Hand Towel (Oshibori),湿巾,물수건/핸드타월,Khăn ướt/Khăn lau tay,Влажное полотенце (осибори),Handuk Tangan Basah (Oshibori),なし,None,有料,燃やせるごみ
おしぼりの袋（プラ製）,Hand Towel Wrapper (Plastic),湿巾的袋子（塑料制）,물수건 봉지 (플라스틱제),Túi đựng khăn ướt (Nhựa),Пакет от осибори (пластиковый),Pembungkus Handuk Tangan (Plastik),なし,None,無料,容器包装プラスチック
おしゃぶり,Pacifier,奶嘴/安抚奶嘴,노리개 젖꼭지,Núm vú giả,Соска-пустышка,Dot Bayi (Pacifier),なし,None,有料,燃やせるごみ
落ち葉,Fallen Leaves,落叶,낙엽,Lá rụng,Опавшие листья,Daun Gugur,収集期間外は「燃やせるごみ」,Outside collection period: Burnable Waste.,無料,枝・葉・草
斧,Axe,斧头,도끼,Rìu,Топор,Kapak,柄を分離し指定ごみ袋に入るものは、柄（木製）は「燃やせるごみ」、刃は厚紙などで包み、「キケン」と表示して「燃やせないごみ」,"Separate handle (wood: Burnable); blade needs wrapping, labeled DANGER (Non-Burnable).",有料,大型ごみ
帯,Obi (Sash),腰带/和服带,오비/띠,Khăn thắt lưng (Obi),Пояс (Оби),Obi (Ikat Pinggang Kimono),古着の無料回収に出すと資源に！,Can be recycled via free collection of used clothing.,有料,燃やせるごみ
汚物入れ（プラ製）,Sanitary Waste Bin (Plastic),污物桶（塑料制）,오물통 (플라스틱제),Thùng rác vệ sinh (Nhựa),Бак для отходов (пластиковый),Tempat Sampah Saniter (Plastik),金属製は「燃やせないごみ」,Metal items are Non-Burnable Waste.,有料,燃やせるごみ
おぼん,Tray,托盘,쟁반,Khay,Поднос,Nampan,金属製は「燃やせないごみ」,Metal items are Non-Burnable Waste.,有料,燃やせるごみ
おまる,Potty,便盆,유아용 변기,Bô vệ sinh trẻ em,Детский горшок,Pispot Anak,プラ製以外は「燃やせないごみ」,Non-plastic items are Non-Burnable Waste.,有料,燃やせるごみ
おむつカバー,Diaper Cover,尿布罩,기저귀 커버,Vỏ bọc tã,Чехол для подгузника,Penutup Popok,なし,None,有料,燃やせるごみ
おもちゃ（電気・電池で動くもの）,Toy (Electric/Battery Operated),玩具（电动・电池驱动）,장난감 (전기・건전지로 작동하는 것),Đồ chơi (Chạy bằng điện/pin),Игрушка (на электричестве/батарейках),Mainan (Bertenaga Listrik/Baterai),小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small appliances.,有料,燃やせないごみ
おもちゃ（木製・プラ製）,Toy (Wood/Plastic),玩具（木制・塑料制）,장난감 (목재・플라스틱제),Đồ chơi (Gỗ/Nhựa),Игрушка (деревянная/пластиковая),Mainan (Kayu/Plastik),なし,None,有料,燃やせるごみ
おもちゃ（木製・プラ製以外）,Toy (Non-Wood/Non-Plastic),玩具（木制・塑料制以外）,장난감 (목재・플라스틱제 이외),Đồ chơi (Không phải gỗ/nhựa),Игрушка (не деревянная/не пластиковая),Mainan (Selain Kayu/Plastik),なし,None,有料,燃やせないごみ
オルガン,Organ,风琴/手风琴/电子琴,오르간,Đàn Organ,Орган,Organ (Instrumen),電子式は、小型家電の無料回収に出すと資源に！※木製及び一人で動かすことが困難な製品は、小型家電の無料回収に出せません,Electronic types can be recycled (excluding wooden/heavy items) via free collection of small appliances.,有料,大型ごみ
おろし金,Grater,刨丝器/磨泥器,강판,Dụng cụ bào/mài,Терка,Parutan,プラ製は「燃やせるごみ」,Plastic items are Burnable Waste.,有料,燃やせないごみ
温水洗浄器付便座,Warm-Water Washing Toilet Seat (Bidet),带温水冲洗功能的马桶座,온수 세정 기능 변기 시트,Bệ xí có chức năng rửa nước ấm,Сиденье для унитаза с функцией биде,Tempat Duduk Toilet Berpemanas (Bidet),なし,None,有料,燃やせないごみ
温度計,Thermometer,温度计,온도계,Nhiệt kế,Термометр,Termometer,・電子式は、小型家電の無料回収に出すと資源に！・水銀式は、水銀体温計・水銀血圧計・水銀温度計の無料回収に出すと資源に！,Electronic types: small appliance collection. Mercury types: specific mercury collection.,有料,燃やせないごみ
カーコンポ,Car Stereo/Component,汽车音响,카 스테레오/카 오디오,Hệ thống âm thanh xe hơi,Автомагнитола,Komponen Audio Mobil,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small appliances.,有料,燃やせないごみ
ガーゼ,Gauze,纱布,거즈,Gạc y tế,Марля/Бинт,Kasa (Gauze),なし,None,有料,燃やせるごみ
カーテレビ（車載用液晶テレビ）,Car TV (Vehicle-mounted LCD TV),汽车电视（车载液晶电视）,카 TV (차량용 액정 TV),TV xe hơi (TV LCD gắn trên xe),Автомобильный телевизор (ЖК),TV Mobil (TV LCD yang Dipasang di Kendaraan),なし,None,有料,燃やせないごみ
カーテン,Curtains,窗帘,커튼,Rèm cửa,Шторы/Занавески,Gorden,綿50％以上の薄手の古布は、古布の無料回収に出すと資源に！,Thin used cloth (50%+ cotton) can be recycled via free used cloth collection.,有料,燃やせるごみ
ガーデンパラソル,Garden Parasol/Umbrella,庭院遮阳伞,정원 파라솔,Dù sân vườn,Садовый зонт,Payung Taman,なし,None,有料,大型ごみ
ガーデンフェンス,Garden Fence,庭院围栏,정원 울타리,Hàng rào sân vườn,Садовый забор,Pagar Taman,なし,None,有料,大型ごみ
ガーデンライト,Garden Light,庭院灯,정원등,Đèn sân vườn,Садовый фонарь,Lampu Taman,小型家電の無料回収に出すと資源に！,Can be recycled as small electronics.,有料,大型ごみ
カーテンレール,Curtain Rail,窗帘杆,커튼 레일,Thanh treo rèm,Карниз для штор,Rel Gorden,なし,,有料,大型ごみ
カード類,Cards,卡片类,카드류,Các loại thẻ,Карты,Jenis Kartu,ウィズユーカード、テレホンカード、キャッシュカード、クレジットカードなど,"Includes loyalty cards, phone cards, credit/cash cards, etc.",有料,燃やせるごみ
